,features,importance-mean,importance-std
333,affiliate_channel_lng_destination_PT,0.0,0.0
334,first_affiliate_tracked_lat_destination_US,0.0,0.0
335,affiliate_channel_lng_destination_NL,0.0,0.0
336,first_affiliate_tracked_lat_destination_PT,0.0,0.0
337,first_affiliate_tracked_lat_destination_NL,0.0,0.0
338,first_affiliate_tracked_lat_destination_IT,0.0,0.0
339,first_affiliate_tracked_lat_destination_GB,0.0,0.0
340,first_affiliate_tracked_lat_destination_FR,0.0,0.0
341,first_affiliate_tracked_lat_destination_ES,0.0,0.0
342,affiliate_channel_destination_km2_ES,0.0,0.0
343,first_affiliate_tracked_lat_destination_DE,0.0,0.0
344,first_affiliate_tracked_lat_destination_CA,0.0,0.0
345,first_affiliate_tracked_lat_destination_AU,0.0,0.0
346,affiliate_channel_lng_destination_IT,0.0,0.0
347,language_population_in_thousands_AU,0.0,0.0
348,language_population_in_thousands_CA,0.0,0.0
349,language_population_in_thousands_DE,0.0,0.0
350,language_population_in_thousands_ES,0.0,0.0
351,first_browser_destination_km2_IT,0.0,0.0
352,language_population_in_thousands_FR,0.0,0.0
353,language_population_in_thousands_GB,0.0,0.0
354,language_population_in_thousands_IT,0.0,0.0
355,affiliate_channel_population_in_thousands_AU,0.0,0.0
356,affiliate_channel_lng_destination_US,0.0,0.0
357,affiliate_channel_language_levenshtein_distance_AU,0.0,0.0
358,affiliate_channel_population_in_thousands_CA,0.0,0.0
359,affiliate_channel_destination_km2_CA,0.0,0.0
360,affiliate_channel_IT,0.0,0.0
361,affiliate_channel_population_in_thousands_US,0.0,0.0
362,affiliate_channel_population_in_thousands_PT,0.0,0.0
363,affiliate_channel_NL,0.0,0.0
364,affiliate_channel_PT,0.0,0.0
365,affiliate_channel_US,0.0,0.0
366,affiliate_channel_other,0.0,0.0
367,affiliate_channel_population_in_thousands_NL,0.0,0.0
368,affiliate_channel_population_in_thousands_IT,0.0,0.0
369,affiliate_channel_destination_km2_DE,0.0,0.0
370,affiliate_channel_lat_destination_GB,0.0,0.0
371,affiliate_channel_lat_destination_FR,0.0,0.0
372,affiliate_channel_population_in_thousands_GB,0.0,0.0
373,affiliate_channel_population_in_thousands_FR,0.0,0.0
374,affiliate_channel_population_in_thousands_ES,0.0,0.0
375,affiliate_channel_population_in_thousands_DE,0.0,0.0
376,affiliate_channel_lat_destination_ES,0.0,0.0
377,affiliate_channel_lat_destination_DE,0.0,0.0
378,affiliate_channel_lat_destination_CA,0.0,0.0
379,affiliate_channel_lat_destination_AU,0.0,0.0
380,first_browser_destination_km2_GB,0.0,0.0
381,first_browser_destination_km2_US,0.0,0.0
382,first_browser_destination_km2_NL,0.0,0.0
383,signup_app_destination_km2_IT,0.0,0.0
384,signup_app_language_levenshtein_distance_NL,0.0,0.0
385,signup_app_language_levenshtein_distance_PT,0.0,0.0
386,signup_app_language_levenshtein_distance_US,0.0,0.0
387,signup_app_destination_km2_AU,0.0,0.0
388,signup_app_destination_km2_CA,0.0,0.0
389,signup_app_destination_km2_DE,0.0,0.0
390,affiliate_channel_distance_km_NL,0.0,0.0
391,signup_app_destination_km2_ES,0.0,0.0
392,signup_app_destination_km2_FR,0.0,0.0
393,signup_app_destination_km2_GB,0.0,0.0
394,signup_app_destination_km2_NL,0.0,0.0
395,signup_app_language_levenshtein_distance_GB,0.0,0.0
396,signup_app_destination_km2_PT,0.0,0.0
397,signup_app_destination_km2_US,0.0,0.0
398,signup_app_distance_km_AU,0.0,0.0
399,affiliate_channel_destination_km2_PT,0.0,0.0
400,signup_app_distance_km_CA,0.0,0.0
401,signup_app_distance_km_DE,0.0,0.0
402,first_affiliate_tracked_destination_km2_CA,0.0,0.0
403,first_affiliate_tracked_destination_km2_AU,0.0,0.0
404,signup_app_distance_km_ES,0.0,0.0
405,signup_app_distance_km_FR,0.0,0.0
406,signup_app_language_levenshtein_distance_IT,0.0,0.0
407,signup_app_language_levenshtein_distance_FR,0.0,0.0
408,first_device_type_lat_destination_ES,0.0,0.0
409,signup_app_population_in_thousands_ES,0.0,0.0
410,first_device_type_lat_destination_GB,0.0,0.0
411,first_device_type_lat_destination_IT,0.0,0.0
412,first_device_type_lat_destination_NL,0.0,0.0
413,first_device_type_lat_destination_PT,0.0,0.0
414,first_affiliate_tracked_destination_km2_GB,0.0,0.0
415,first_device_type_lat_destination_US,0.0,0.0
416,first_affiliate_tracked_destination_km2_FR,0.0,0.0
417,signup_app_population_in_thousands_AU,0.0,0.0
418,signup_app_population_in_thousands_CA,0.0,0.0
419,signup_app_population_in_thousands_DE,0.0,0.0
420,signup_app_population_in_thousands_FR,0.0,0.0
421,signup_app_language_levenshtein_distance_ES,0.0,0.0
422,signup_app_population_in_thousands_GB,0.0,0.0
423,signup_app_population_in_thousands_IT,0.0,0.0
424,signup_app_population_in_thousands_NL,0.0,0.0
425,first_affiliate_tracked_destination_km2_ES,0.0,0.0
426,signup_app_population_in_thousands_PT,0.0,0.0
427,first_affiliate_tracked_destination_km2_DE,0.0,0.0
428,signup_app_population_in_thousands_US,0.0,0.0
429,signup_app_language_levenshtein_distance_AU,0.0,0.0
430,signup_app_language_levenshtein_distance_CA,0.0,0.0
431,signup_app_language_levenshtein_distance_DE,0.0,0.0
432,signup_app_distance_km_GB,0.0,0.0
433,signup_app_distance_km_IT,0.0,0.0
434,signup_app_distance_km_NL,0.0,0.0
435,first_affiliate_tracked_language_levenshtein_distance_AU,0.0,0.0
436,first_affiliate_tracked_population_in_thousands_CA,0.0,0.0
437,first_affiliate_tracked_population_in_thousands_DE,0.0,0.0
438,affiliate_channel_distance_km_FR,0.0,0.0
439,first_affiliate_tracked_population_in_thousands_ES,0.0,0.0
440,first_affiliate_tracked_population_in_thousands_FR,0.0,0.0
441,first_affiliate_tracked_population_in_thousands_GB,0.0,0.0
442,first_affiliate_tracked_population_in_thousands_IT,0.0,0.0
